3001,St. Agnes,2001,F101015E
3002,,2001,
3003,St. Mary Goretti,2002,
3004,St. Cecilia,2002,
3005,,2003,F131017S
3006,,2003,
3007,St. Lourdes,2004,
3008,St. Rita,2004,
3009,St. Anthony,2005,
3010,St. Ignatius,2005,
3011,St. Luke,2006,
3012,St. John,2006,
3013,St. Mark,2007,
3014,St. Andrew,2007,
3015,St. Dominic Savio,2008,
3016,St. Thomas,2008,
3017,St. Lorenzo Ruiz,2009,
3018,St. Paul,2009,
3019,St. Monica,2010,
3020,St. Augustine,2010,
3021,St. Francis of Assisi,2011,
3022,St. Rose of Lima,2011,
3023,St. Michael,2012,
3024,St. Therese of Avila,2012,
3025,St. Pio of Pietrelcina,2013,
3026,St. Pedro Calungsod,2013,
3027,St. Martin of Tours,2014,
3028,St. Jude Thaddeus,2014,
