1,1001,English,,2001,3001,
2,1002,Math,,2001,3001,
3,1003,Science,,2001,3001,
4,1004,Filipino,,2001,3001,
5,1005,Mape,,2001,3001,
6,1006,English,,2001,3002,
7,1007,Math,,2001,3002,F141013L
8,1008,Science,,2001,3002,F141013L
9,1009,Filipino,,2001,3002,F141013L
10,1010,Mape,,2001,3002,F221019V
11,1011,English,,2002,3003,F181018G
12,1012,Math,,2002,3003,F131017S
13,1013,Science,,2002,3003,
14,1014,Filipino,,2002,3003,F131017S
15,1015,Mape,,2002,3003,F101015E
16,1016,English,,2002,3004,
17,1017,Math,,2002,3004,
18,1018,Science,,2002,3004,
19,1019,Filipino,,2002,3004,
20,1020,Mape,,2002,3004,
21,1021,English,,2003,3005,F181018G
22,1022,Math,,2003,3005,F131017S
23,1023,Science,,2003,3005,
24,1024,Filipino,,2003,3005,F131017S
25,1025,Mape,,2003,3005,F101015E
26,1026,Computer,,2003,3005,
27,1027,English,,2003,3006,
28,1028,Math,,2003,3006,
29,1029,Science,,2003,3006,
30,1030,Filipino,,2003,3006,
31,1031,Mape,,2003,3006,
32,1032,Computer,,2003,3006,
33,1033,English,,2004,3007,
34,1034,Math,,2004,3007,
35,1035,Science,,2004,3007,
36,1036,Filipino,,2004,3007,
37,1037,Mape,,2004,3007,
38,1038,Computer,,2004,3007,
39,1039,Sibika,,2004,3007,
40,1040,English,,2004,3008,
41,1041,Math,,2004,3008,
42,1042,Science,,2004,3008,
43,1043,Filipino,,2004,3008,
44,1044,Mape,,2004,3008,
45,1045,Computer,,2004,3008,
46,1046,Sibika,,2004,3008,
47,1047,Mother Tongue,,2005,3009,
48,1048,English,,2005,3009,
49,1049,Math,,2005,3009,
50,1050,Science,,2005,3009,
51,1051,Filipino,,2005,3009,
52,1052,AP,,2005,3009,
53,1053,Edukasyon sa Pagpapakatao,,2005,3009,
54,1054,Music,,2005,3009,
55,1055,Arts,,2005,3009,
56,1056,PE,,2005,3009,
57,1057,Health,,2005,3009,
58,1058,Mapeh,,2005,3009,
59,1059,Computer,,2005,3009,
60,1060,Mother Tongue,,2005,3010,
61,1061,English,,2005,3010,
62,1062,Math,,2005,3010,
63,1063,Science,,2005,3010,
64,1064,Filipino,,2005,3010,
65,1065,AP,,2005,3010,
66,1066,Edukasyon sa Pagpapakatao,,2005,3010,
67,1067,Music,,2005,3010,
68,1068,Arts,,2005,3010,
69,1069,PE,,2005,3010,
70,1070,Health,,2005,3010,
71,1071,Mapeh,,2005,3010,
72,1072,Computer,,2005,3010,
73,1073,Mother Tongue,,2006,3011,
74,1074,English,,2006,3011,
75,1075,Math,,2006,3011,
76,1076,Science,,2006,3011,
77,1077,Filipino,,2006,3011,
78,1078,AP,,2006,3011,
79,1079,Edukasyon sa Pagpapakatao,,2006,3011,
80,1080,Music,,2006,3011,
81,1081,Arts,,2006,3011,
82,1082,PE,,2006,3011,
83,1083,Health,,2006,3011,
84,1084,Mapeh,,2006,3011,
85,1085,Computer,,2006,3011,
86,1086,Mother Tongue,,2006,3012,
87,1087,English,,2006,3012,
88,1088,Math,,2006,3012,
89,1089,Science,,2006,3012,
90,1090,Filipino,,2006,3012,
91,1091,AP,,2006,3012,
92,1092,Edukasyon sa Pagpapakatao,,2006,3012,
93,1093,Music,,2006,3012,
94,1094,Arts,,2006,3012,
95,1095,PE,,2006,3012,
96,1096,Health,,2006,3012,
97,1097,Mapeh,,2006,3012,
98,1098,Computer,,2006,3012,
99,1099,Mother Tongue,,2007,3013,
100,1100,English,,2007,3013,
101,1101,Math,,2007,3013,
102,1102,Science,,2007,3013,
103,1103,Filipino,,2007,3013,
104,1104,AP,,2007,3013,
105,1105,Edukasyon sa Pagpapakatao,,2007,3013,
106,1106,Music,,2007,3013,
107,1107,Arts,,2007,3013,
108,1108,PE,,2007,3013,
109,1109,Health,,2007,3013,
110,1110,Mapeh,,2007,3013,
111,1111,Computer,,2007,3013,
112,1112,Mother Tongue,,2007,3014,
113,1113,English,,2007,3014,
114,1114,Math,,2007,3014,
115,1115,Science,,2007,3014,
116,1116,Filipino,,2007,3014,
117,1117,AP,,2007,3014,
118,1118,Edukasyon sa Pagpapakatao,,2007,3014,
119,1119,Music,,2007,3014,
120,1120,Arts,,2007,3014,
121,1121,PE,,2007,3014,
122,1122,Health,,2007,3014,
123,1123,Mapeh,,2007,3014,
124,1124,Computer,,2007,3014,
125,1125,English,,2008,3015,
126,1126,Math,,2008,3015,
127,1127,Science,,2008,3015,
128,1128,Filipino,,2008,3015,
129,1129,AP,,2008,3015,
130,1130,EPP,,2008,3015,
131,1131,Edukasyon sa Pagpapakatao,,2008,3015,
132,1132,Music,,2008,3015,
133,1133,Arts,,2008,3015,
134,1134,PE,,2008,3015,
135,1135,Health,,2008,3015,
136,1136,Mapeh,,2008,3015,
137,1137,Computer,,2008,3015,
138,1138,English,,2008,3016,
139,1139,Math,,2008,3016,
140,1140,Science,,2008,3016,
141,1141,Filipino,,2008,3016,
142,1142,AP,,2008,3016,
143,1143,EPP,,2008,3016,
